CountDense,CountActivation,CountDropout,CountFlatten,CountInputLayer,CountConv1D,CountConv2D,CountConv3D,CountMaxPooling1D,CountMaxPooling2D,CountMaxPooling3D,CountSimpleRNN,CountGRU,CountLSTM,CountEmbedding,CountBatchNormalization,CountLayerNormalization,Countsoftmax,Countrelu,Counttanh,Countsigmoid,Counthard_sigmoid,Countexponential,Countlinear,CountL1,CountL2,CountL1L2,Model_File,Total_Params,Trainable_Params,Num_Neurons,Max_Neurons,Min_Neurons,Max_Dimension_Input,Min_Dimension_Input,Max_Dimension_Output,Min_Dimension_Output,Max_Input_Output_Dimension_Mismatch_Count,Max_Dropout_Rate,Min_Dropout_Rate,Number_of_Layers,Layer_Diversity,Activation_Presence,Avg_Params_Per_Layer,Input_Output_Mismatch_Count_Layer
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1432_77416892_correct.h5,29345,29345,3,64,1,64,1,64,1,0,0.0,0.0,3,2,1.0,9781.666666666666,0
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,2701_67727890_correct.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0
2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1364_76132850_correct.h5,4438,4438,3,100,10,100,1,100,1,0,0.0,0.0,5,4,0.6,887.6,0
2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1358_76132850_correct.h5,4438,4438,3,100,10,100,1,100,1,0,0.0,0.0,5,4,0.6,887.6,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2071_52800582_correct.h5,2701,2701,3,50,1,50,1,50,1,0,0.0,0.0,5,2,1.0,540.2,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3417_50306988_correct.h5,12,12,2,2,2,2,2,2,2,0,0.0,0.0,2,1,1.0,6.0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,0,0,0,0,0,0,0,242_67590787_correct.h5,287498,287498,5,64,10,1000,32,1000,10,0,0.0,0.0,6,2,0.8333333333333334,47916.333333333336,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3395_50306988_correct.h5,12,12,2,2,2,2,2,2,2,0,0.0,0.0,2,1,1.0,6.0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,289_31556268_correct.h5,17,17,2,4,1,4,1,4,1,0,0.0,0.0,4,2,1.0,4.25,0
2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1075_72795591_correct.h5,4897,4897,3,32,1,32,1,32,1,0,0.2,0.2,5,3,0.6,979.4,0
1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,161_66952606_correct.h5,771713,771713,2,128,1,500,128,500,1,0,0.5,0.5,5,5,0.4,154342.6,0
2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,1156_73148058_correct.h5,52132,52132,4,64,4,64,1,64,3,0,0.2,0.2,6,3,0.6666666666666666,8688.666666666666,0
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,687_69906416_correct.h5,32130,32130,3,50,30,60,1,60,30,0,0.0,0.0,3,2,1.0,10710.0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1288_73765263_correct.h5,58978,58978,2,10,8,2560,8,2560,8,0,0.0,0.0,4,2,0.5,14744.5,0
2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,3707_52782432_correct.h5,49795,49795,3,128,3,128,3,128,3,0,0.2,0.2,6,4,0.6666666666666666,8299.166666666666,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3360_71251340_correct.h5,333201,333201,0,0,0,400,7,400,1,0,0.0,0.0,3,0,0.0,111067.0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,279_67649606_correct.h5,30113,30113,3,64,1,64,4,64,1,0,0.2,0.2,4,3,0.75,7528.25,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1915_50306988_correct.h5,12,12,2,2,2,2,2,2,2,0,0.0,0.0,2,1,1.0,6.0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2336_66840108_correct.h5,25933,25933,3,196,1,196,2,196,1,0,0.0,0.0,3,1,1.0,8644.333333333334,0
2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,3954_72795591_correct.h5,4897,4897,3,32,1,32,1,32,1,0,0.2,0.2,5,3,0.6,979.4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3001_69364684_correct.h5,1261,1261,4,8,4,10,4,10,4,0,0.0,0.0,6,1,0.6666666666666666,210.16666666666666,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2298_64634468_correct.h5,51,51,3,5,1,5,2,5,1,0,0.0,0.0,3,1,1.0,17.0,0
2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3125_70178206_correct.h5,3938570,3938570,3,128,10,30752,3,30752,10,0,0.0,0.0,5,4,0.6,787714.0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1776_46642627_correct.h5,2701,2701,3,50,1,50,1,50,1,0,0.0,0.0,3,1,1.0,900.3333333333334,0
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1386_77416892_correct.h5,29345,29345,3,64,1,64,1,64,1,0,0.0,0.0,3,2,1.0,9781.666666666666,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3750_48385830_correct.h5,23860,23860,2,30,10,784,30,30,10,1,0.0,0.0,2,1,1.0,11930.0,0
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,2694_67727890_correct.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0
2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3767_66468006_correct.h5,407050,407050,2,512,10,784,28,784,10,0,0.2,0.2,4,3,0.5,101762.5,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2699_31556268_correct.h5,17,17,2,4,1,4,1,4,1,0,0.0,0.0,4,2,1.0,4.25,0
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,3045_69906416_correct.h5,32130,32130,3,50,30,60,1,60,30,0,0.0,0.0,3,2,1.0,10710.0,0
